54
2.25 c03 36 130.81344004395967
3.25 d03 38 146.8333728873804 2
4.5 g02 31 97.99893263068115 7
7.0 c04 48 261.62956379894933 17
8.0 c04 48 261.62956379894933 0
10.0 e04 52 329.6337218008237 4
12.0 c04 48 261.62956379894933 4
14.0 a03 45 220.00279814001308 3
16.5 e03 40 164.81517026262188 5
17.5 f#3 42 184.99908988354827 2
19.0 c03 36 130.81344004395967 6
21.0 g03 43 195.9998757643836 7
23.0 d03 38 146.8333728873804 5
24.75 b02 35 123.47134026636078 3
25.75 g02 31 97.99893263068115 4
27.5 g03 43 195.9998757643836 12
28.75 f#3 42 184.99908988354827 1
29.75 d03 38 146.8333728873804 4
31.25 d04 50 293.66975814369056 12
32.75 e04 52 329.6337218008237 2
33.75 g04 55 392.0037725760563 3
35.5 d04 50 293.66975814369056 5
36.75 f04 53 349.2350614339879 3
37.75 a04 57 440.010109760719 4
39.5 e04 52 329.6337218008237 5
40.75 g04 55 392.0037725760563 3
41.75 bb4 58 466.1748709275304 3
42.75 e04 52 329.6337218008237 6
43.75 g04 55 392.0037725760563 3
44.75 c04 48 261.62956379894933 7
45.75 e04 52 329.6337218008237 4
46.75 a03 45 220.00279814001308 7
47.75 c04 48 261.62956379894933 3
49.75 e04 52 329.6337218008237 4
50.75 g03 43 195.9998757643836 9
51.75 b03 47 246.94521361646014 4
52.75 d04 50 293.66975814369056 3
53.75 f04 53 349.2350614339879 3
55.5 e03 40 164.81517026262188 13
58.5 d04 50 293.66975814369056 10
59.5 c#4 49 277.18710418068997 1
62.75 c04 48 261.62956379894933 1
63.75 a03 45 220.00279814001308 3
66.75 b03 47 246.94521361646014 2
67.75 d04 50 293.66975814369056 3
70.75 bb3 46 233.0850445286108 4
71.75 g03 43 195.9998757643836 3
73.5 g03 43 195.9998757643836 0
75.5 bb3 46 233.0850445286108 3
77.5 d04 50 293.66975814369056 4
78.75 f03 41 174.61573954711844 9
79.75 d03 38 146.8333728873804 3
81.5 e03 40 164.81517026262188 2
82.75 f03 41 174.61573954711844 1
