60
0.25 c04 48 261.62956379894933
1.25 d04 50 293.66975814369056 2
2.5 c05 60 523.2644950750164 10
4.25 g04 55 392.0037725760563 5
5.25 a04 57 440.010109760719 2
6.5 g05 67 784.0155873291847 10
8.25 a05 69 880.0292465754202 2
9.25 g05 67 784.0155873291847 2
10.25 f05 65 698.4772876209713 2
11.25 e05 64 659.274206222176 1
12.25 d05 62 587.3455410870412 2
13.25 c05 60 523.2644950750164 2
14.25 b04 59 493.895493452365 1
15.25 a04 57 440.010109760719 2
16.5 d04 50 293.66975814369056 7
18.25 a04 57 440.010109760719 7
19.25 g04 55 392.0037725760563 2
20.25 b04 59 493.895493452365 4
21.25 d05 62 587.3455410870412 3
22.25 b04 59 493.895493452365 3
23.0 b04 59 493.895493452365 0
26.25 g04 55 392.0037725760563 4
27.25 a04 57 440.010109760719 2
30.25 a04 57 440.010109760719 0
31.25 b04 59 493.895493452365 2
34.25 d05 62 587.3455410870412 3
35.25 c05 60 523.2644950750164 2
38.25 e05 64 659.274206222176 4
39.25 d05 62 587.3455410870412 2
40.5 c#5 61 554.3798950101573 1
42.5 a04 57 440.010109760719 4
44.5 f#4 54 370.0019751270985 3
46.5 c05 60 523.2644950750164 6
48.75 g#4 56 415.3138849085189 4
49.75 e04 52 329.6337218008237 4
50.75 e05 64 659.274206222176 12
51.75 d05 62 587.3455410870412 2
52.75 b05 71 987.8011194475558 9
53.75 d05 62 587.3455410870412 9
54.75 d05 62 587.3455410870412 0
56.0 a04 57 440.010109760719 5
57.0 e05 64 659.274206222176 7
58.0 g05 67 784.0155873291847 3
61.0 a05 69 880.0292465754202 2
62.0 f05 65 698.4772876209713 4
65.0 d05 62 587.3455410870412 3
66.0 f05 65 698.4772876209713 3
69.0 g05 67 784.0155873291847 2
70.0 e05 64 659.274206222176 3
73.0 f05 65 698.4772876209713 1
74.0 d05 62 587.3455410870412 3
75.0 a05 69 880.0292465754202 7
76.0 f05 65 698.4772876209713 4
77.0 c06 72 1046.5397252143853 7
78.0 c06 72 1046.5397252143853 0
79.75 c05 60 523.2644950750164 12
80.75 g04 55 392.0037725760563 5
81.75 bb4 58 466.1748709275304 3
82.75 e04 52 329.6337218008237 6
83.75 b04 59 493.895493452365 7
