168
0.0 e05 64 659.274206222176
0.75 e05 64 659.274206222176 0
1.5 e05 64 659.274206222176 0
2.25 e05 64 659.274206222176 0
3.0 e05 64 659.274206222176 0
4.0 a04 57 440.010109760719 7
4.75 a04 57 440.010109760719 0
5.5 a04 57 440.010109760719 0
6.0 a04 57 440.010109760719 0
8.25 a04 57 440.010109760719 0
9.0 e04 52 329.6337218008237 5
10.0 e04 52 329.6337218008237 0
10.75 e04 52 329.6337218008237 0
12.0 c04 48 261.62956379894933 4
12.75 c04 48 261.62956379894933 0
13.5 g03 43 195.9998757643836 5
14.0 g03 43 195.9998757643836 0
16.25 g03 43 195.9998757643836 0
17.0 g03 43 195.9998757643836 0
18.0 c03 36 130.81344004395967 7
18.75 c03 36 130.81344004395967 0
19.5 c03 36 130.81344004395967 0
20.25 c03 36 130.81344004395967 0
21.0 c03 36 130.81344004395967 0
21.75 c03 36 130.81344004395967 0
25.0 d03 38 146.8333728873804 2
27.0 d04 50 293.66975814369056 12
27.75 g04 55 392.0037725760563 5
29.5 g05 67 784.0155873291847 12
30.0 c06 72 1046.5397252143853 5
34.0 bb4 58 466.1748709275304 14
37.5 g04 55 392.0037725760563 3
41.5 b04 59 493.895493452365 4
42.5 bb4 58 466.1748709275304 1
44.0 f04 53 349.2350614339879 5
45.5 d04 50 293.66975814369056 3
46.5 g04 55 392.0037725760563 5
47.5 g04 55 392.0037725760563 0
48.5 e04 52 329.6337218008237 3
50.0 bb3 46 233.0850445286108 6
51.0 f04 53 349.2350614339879 7
52.0 bb4 58 466.1748709275304 5
53.0 f05 65 698.4772876209713 7
54.0 bb4 58 466.1748709275304 7
55.5 gb4 54 370.0019751270985 4
57.5 b04 59 493.895493452365 5
58.5 bb4 58 466.1748709275304 1
60.0 f04 53 349.2350614339879 5
61.5 d04 50 293.66975814369056 3
62.5 g04 55 392.0037725760563 5
63.5 g04 55 392.0037725760563 0
64.5 e04 52 329.6337218008237 3
66.0 bb3 46 233.0850445286108 6
67.0 f04 53 349.2350614339879 7
68.0 bb4 58 466.1748709275304 5
69.0 f05 65 698.4772876209713 7
70.0 f05 65 698.4772876209713 0
71.0 f05 65 698.4772876209713 0
72.0 f05 65 698.4772876209713 0
73.0 f05 65 698.4772876209713 0
74.0 f#5 66 740.0115410520648 1
75.0 f#5 66 740.0115410520648 0
76.25 g05 67 784.0155873291847 1
77.0 g05 67 784.0155873291847 0
78.0 c05 60 523.2644950750164 7
78.75 c05 60 523.2644950750164 0
79.5 c05 60 523.2644950750164 0
80.25 c05 60 523.2644950750164 0
81.0 c05 60 523.2644950750164 0
81.75 c05 60 523.2644950750164 0
84.0 g04 55 392.0037725760563 5
84.75 g04 55 392.0037725760563 0
85.5 g04 55 392.0037725760563 0
86.25 f04 53 349.2350614339879 2
87.0 c04 48 261.62956379894933 5
88.25 d04 50 293.66975814369056 2
89.0 g03 43 195.9998757643836 7
89.75 b03 47 246.94521361646014 4
92.0 e03 40 164.81517026262188 7
92.75 e03 40 164.81517026262188 0
93.5 e03 40 164.81517026262188 0
94.25 e03 40 164.81517026262188 0
95.0 e03 40 164.81517026262188 0
96.0 a02 33 110.0002707114078 7
96.75 a02 33 110.0002707114078 0
97.5 a02 33 110.0002707114078 0
98.0 a02 33 110.0002707114078 0
101.5 e03 40 164.81517026262188 7
103.5 e04 52 329.6337218008237 12
105.0 e05 64 659.274206222176 12
105.75 a05 69 880.0292465754202 5
107.5 b04 59 493.895493452365 10
108.5 bb4 58 466.1748709275304 1
110.0 f04 53 349.2350614339879 5
111.5 d04 50 293.66975814369056 3
112.5 g04 55 392.0037725760563 5
113.5 g04 55 392.0037725760563 0
114.5 e04 52 329.6337218008237 3
116.0 bb3 46 233.0850445286108 6
117.0 f04 53 349.2350614339879 7
118.0 bb4 58 466.1748709275304 5
119.0 f05 65 698.4772876209713 7
120.0 bb4 58 466.1748709275304 7
121.5 gb4 54 370.0019751270985 4
123.5 b04 59 493.895493452365 5
124.5 bb4 58 466.1748709275304 1
126.0 f04 53 349.2350614339879 5
127.5 d04 50 293.66975814369056 3
128.5 g04 55 392.0037725760563 5
129.5 g04 55 392.0037725760563 0
130.5 e04 52 329.6337218008237 3
132.0 bb3 46 233.0850445286108 6
133.0 f04 53 349.2350614339879 7
134.0 bb4 58 466.1748709275304 5
135.0 f05 65 698.4772876209713 7
136.0 f05 65 698.4772876209713 0
137.0 f05 65 698.4772876209713 0
138.0 f05 65 698.4772876209713 0
139.0 f05 65 698.4772876209713 0
140.0 f#5 66 740.0115410520648 1
141.0 f#5 66 740.0115410520648 0
142.25 g05 67 784.0155873291847 1
143.0 g05 67 784.0155873291847 0
144.0 c05 60 523.2644950750164 7
144.75 c05 60 523.2644950750164 0
145.5 c05 60 523.2644950750164 0
146.25 c05 60 523.2644950750164 0
147.0 c05 60 523.2644950750164 0
147.75 c05 60 523.2644950750164 0
