43
0.0 e05 64 659.274206222176
3.0 e05 64 659.274206222176 0
6.0 a04 57 440.010109760719 7
10.75 e04 52 329.6337218008237 5
14.0 g03 43 195.9998757643836 9
18.75 c03 36 130.81344004395967 7
21.75 c03 36 130.81344004395967 0
29.5 g05 67 784.0155873291847 31
41.5 b04 59 493.895493452365 8
46.5 g04 55 392.0037725760563 4
51.0 f04 53 349.2350614339879 2
55.5 gb4 54 370.0019751270985 1
61.5 d04 50 293.66975814369056 4
66.0 bb3 46 233.0850445286108 4
70.0 f05 65 698.4772876209713 19
74.0 f#5 66 740.0115410520648 1
78.0 c05 60 523.2644950750164 6
81.0 c05 60 523.2644950750164 0
85.5 g04 55 392.0037725760563 5
89.0 g03 43 195.9998757643836 12
93.5 e03 40 164.81517026262188 3
96.75 a02 33 110.0002707114078 7
103.5 e04 52 329.6337218008237 19
108.5 bb4 58 466.1748709275304 6
113.5 g04 55 392.0037725760563 3
118.0 bb4 58 466.1748709275304 3
123.5 b04 59 493.895493452365 1
128.5 g04 55 392.0037725760563 4
133.0 f04 53 349.2350614339879 2
137.0 f05 65 698.4772876209713 12
141.0 f#5 66 740.0115410520648 1
144.75 c05 60 523.2644950750164 6
147.75 c05 60 523.2644950750164 0
152.25 f04 53 349.2350614339879 7
155.75 b03 47 246.94521361646014 6
160.25 e03 40 164.81517026262188 7
163.75 c03 36 130.81344004395967 4
171.5 g05 67 784.0155873291847 31
172.0 g05 67 784.0155873291847 14
129.5 f04 53 349.2350614339879 3
120.5 db4 49 277.18710418068997 0
63.5 f04 53 349.2350614339879 0
54.5 db4 49 277.18710418068997 7
